StationId,obsTime,ELEV,RAIN,MIN_10,HOUR_3,HOUR_6,HOUR_12,HOUR_24,NOW,StationName,CountyName,Lon,Lat
C0U720,2022/10/30 19:20,1260.0,-998.0,-998.0,-998.0,-998.0,4.0,7.0,5.0,南山,宜蘭縣,121.381669,24.437419
C1O880,2022/10/30 19:20,223.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,關山,臺南市,120.594092,23.173397
81M670,2022/10/30 19:20,560.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,新美國小,嘉義縣,120.683124,23.337816
C0X150,2022/10/30 19:20,18.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,安定,臺南市,120.227839,23.102614
C0Z050,2022/10/30 19:20,830.0,-998.0,-998.0,-998.0,-998.0,0.0,8.5,0.0,佳心,花蓮縣,121.213164,23.345667
81M680,2022/10/30 19:20,1181.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,太和村,嘉義縣,120.708889,23.535556
CAN070,2022/10/30 19:20,63.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國三S329K,臺南市,120.355833,23.212777
C0X240,2022/10/30 19:20,394.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,關子嶺,臺南市,120.508025,23.331169
01O190,2022/10/30 19:20,80.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,東原,臺南市,120.445893,23.265355
C1I280,2022/10/30 19:20,439.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,埔中,南投縣,120.642594,23.820778
C0X050,2022/10/30 19:20,25.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,東河,臺南市,120.385592,23.296581
CAP040,2022/10/30 19:20,27.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國一N361K,高雄市,120.328611,22.680555
CAG040,2022/10/30 19:20,35.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國三N191K,彰化縣,120.5215,24.139256
C1I470,2022/10/30 19:20,1680.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,杉林溪,南投縣,120.786444,23.639517
C1F9G1,2022/10/30 19:20,810.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,慶福山,臺中市,120.848378,24.180853
O1P470,2022/10/30 19:20,64.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,旗山(4),高雄市,120.481673,22.879521
01M010,2022/10/30 19:20,17.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,溪口(3),嘉義縣,120.40001,23.587551
01S430,2022/10/30 19:20,925.0,-998.0,-998.0,-998.0,-998.0,0.0,1.0,0.0,霧鹿,臺東縣,121.041436,23.169246
CAL030,2022/10/30 19:20,39.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國一N268K,嘉義縣,120.375833,23.460833
CAD060,2022/10/30 19:20,75.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國一S098K,新竹縣,120.9911,24.76056
C0V660,2022/10/30 19:20,25.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,岡山,高雄市,120.294958,22.797078
C1I201,2022/10/30 19:20,677.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,中心崙,南投縣,120.712097,23.728722
C0R130,2022/10/30 19:20,1040.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,阿禮,屏東縣,120.743678,22.742908
CAG100,2022/10/30 19:20,7.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,王功漁港,彰化縣,120.32586,23.96824
C0X170,2022/10/30 19:20,50.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,關廟,臺南市,120.327797,22.963017
01P190,2022/10/30 19:20,78.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,木柵,高雄市,120.467014,22.975659
01W010,2022/10/30 19:20,18.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,望安,澎湖縣,119.500614,23.360891
C1F911,2022/10/30 19:20,417.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,新伯公,臺中市,120.841069,24.221361
C0K291,2022/10/30 19:20,8.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,宜梧,雲林縣,120.169311,23.536267
C0E780,2022/10/30 19:20,160.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,銅鑼,苗栗縣,120.790853,24.489681
01S560,2022/10/30 19:20,180.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,南鵝,臺東縣,121.024368,22.766264
01O710,2022/10/30 19:20,34.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,虎頭埤,臺南市,120.337183,23.025684
01V040,2022/10/30 19:20,259.5,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,六龜(4),高雄市,120.633563,22.997838
C1I450,2022/10/30 19:20,3025.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,望鄉山,南投縣,120.944286,23.594153
V2K620,2022/10/30 19:20,9.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,麥寮合作社,雲林縣,120.294783,23.753836
C0V360,2022/10/30 19:20,94.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,內門,高雄市,120.466769,22.975481
CAG030,2022/10/30 19:20,33.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國一S207K,彰化縣,120.508092,23.988304
466950,2022/10/30 19:20,99.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,彭佳嶼,基隆市,122.079744,25.627975
C0D650,2022/10/30 19:20,97.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,湖口,新竹縣,121.043628,24.904794
O1S690,2022/10/30 19:20,725.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,神山,屏東縣,120.728297,22.748999
C0V630,2022/10/30 19:20,19.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,茄萣,高雄市,120.182608,22.906642
C0G820,2022/10/30 19:20,29.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,田尾,彰化縣,120.509389,23.901669
01E230,2022/10/30 19:20,335.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,卓蘭(2),臺中市,120.813208,24.30505
C0R590,2022/10/30 19:20,72.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,里港,屏東縣,120.494589,22.779194
CAF090,2022/10/30 19:20,130.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國四E5K,臺中市,120.643135,24.296465
81U890,2022/10/30 19:20,24.0,-998.0,-998.0,-998.0,-998.0,1.0,1.0,1.0,大里國小,宜蘭縣,121.926111,24.970278
C0X300,2022/10/30 19:20,70.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,鹿寮,臺南市,120.477331,23.386047
C1I320,2022/10/30 19:20,1275.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,奧萬大,南投縣,121.178556,23.952956
72V140,2022/10/30 19:20,44.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,高改旗南分場,高雄市,120.516667,22.857861
C0R160,2022/10/30 19:20,45.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,鹽埔,屏東縣,120.530778,22.739558
CAL090,2022/10/30 19:20,5.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,西濱S257K,嘉義縣,120.171861,23.502278
CAG010,2022/10/30 19:20,28.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國一N198K,彰化縣,120.523056,24.063889
01N850,2022/10/30 19:20,114.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,南化(2),臺南市,120.479345,23.044518
01S870,2022/10/30 19:20,135.0,-998.0,-998.0,-998.0,-998.0,0.0,5.0,0.0,北源,臺東縣,121.301007,23.037536
CAN140,2022/10/30 19:20,24.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,六官養殖協會,臺南市,120.29962,23.22881
81C780,2022/10/30 19:20,357.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,奎輝國小,桃園市,121.334444,24.7975
C0D550,2022/10/30 19:20,1956.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,雪霸,新竹縣,121.11605,24.526972
C0S950,2022/10/30 19:20,415.0,-998.0,-998.0,-998.0,-998.0,0.5,2.0,0.5,七塊厝,臺東縣,121.229922,22.954453
01O070,2022/10/30 19:20,350.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,關子嶺(2),臺南市,120.506972,23.330882
C0M670,2022/10/30 19:20,43.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,大林,嘉義縣,120.458397,23.600606
C1E601,2022/10/30 19:20,125.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,南勢,苗栗縣,120.734842,24.572486
CAE060,2022/10/30 19:20,28.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國三N119K,苗栗縣,120.847389,24.675432
