Full_Town_Name,High_Count,Med_Count,Low_Count,Safe_Count,Total_Count,Dependency_Score,At_Risk_Cap,Safe_Cap,Cap_Gap,Norm_Dependency,Norm_Gap,Total_Risk_Score
臺北市松山區,8,4,6,0,18,2.1109938336759067,6206,0,6206,0.7036927578097513,0.08996549824591922,0.7936582560556705
臺北市萬華區,7,12,0,0,19,2.3682964054523445,35849,0,35849,0.7894637124361876,0.5196862949755009,1.3091500074116884
臺南市七股區,8,8,5,5,26,1.7307026652821045,2787,1336,1451,0.5769239644629053,0.021034472761010118,0.5979584372239154
臺南市下營區,0,0,5,7,12,0.41663194733772185,1080,1330,0,0.1388828708718718,0.0,0.1388828708718718
臺南市中西區,9,5,7,0,21,2.0951383267463455,8062,0,8062,0.6984073774264719,0.11687106781479227,0.8152784452412641
臺南市仁德區,1,1,3,0,5,1.5996800639872024,7830,0,7830,0.533248017063254,0.11350787161868313,0.6467558886819371
臺南市佳里區,3,3,9,2,17,1.4116816657843656,21660,3140,18520,0.4705793776836657,0.2684758342756081,0.7390552119592738
臺南市六甲區,1,5,9,0,15,1.4665688954069729,3130,0,3130,0.48887585272092976,0.04537415557681714,0.5342500082977469
臺南市北區,5,7,9,0,21,1.8094376458263892,16956,0,16956,0.6031700077774075,0.24580325302252762,0.8489732607999351
臺南市北門區,1,2,2,0,5,1.7996400719856027,1330,0,1330,0.5999040191961608,0.01928039198631527,0.619184411182476
臺南市南區,3,0,12,2,17,1.2352214575613198,34375,12207,22168,0.41175695547320745,0.3213591951523586,0.7331161506255661
臺南市善化區,1,2,8,6,17,0.8823010411152284,3410,2020,1390,0.29411211105229107,0.020150184105998666,0.31426229515828974
臺南市大內區,1,5,0,0,6,2.1663056157307112,1115,0,1115,0.7221307559851136,0.016163636890783102,0.7382943928758967
臺南市學甲區,0,6,2,0,8,1.7497812773403325,2120,0,2120,0.5832837561971421,0.03073265489547998,0.6140164110926221
臺南市安南區,4,9,12,15,40,1.0499737506562337,11821,10091,1730,0.3500052498687533,0.025079006117537907,0.3750842559862912
臺南市安定區,0,6,5,6,17,0.9999411799305923,3100,1500,1600,0.33332705919259653,0.02319445652489055,0.3565215157174871
臺南市安平區,19,1,0,0,20,2.949852507374631,6554,0,6554,0.9833235004916421,0.09501029254008292,1.078333793031725
臺南市官田區,3,7,1,0,11,2.18161985274066,5340,0,5340,0.7272357058449233,0.07741149865182222,0.8046472044967454
臺南市將軍區,0,3,11,3,17,0.9999411799305923,2700,650,2050,0.33332705919259653,0.02971789742251602,0.36304495661511255
臺南市山上區,5,4,0,0,9,2.5552716364848354,2650,0,2650,0.8517912824500983,0.03841581861934998,0.8902071010694482
臺南市左鎮區,2,0,0,0,2,2.9985007496251876,110,0,110,0.9995402298850576,0.0015946188860862253,1.0011348487711438
臺南市後壁區,1,6,12,5,24,1.1249531269530435,2715,660,2055,0.3749993750260406,0.029790380099156303,0.4047897551251969
臺南市新化區,6,5,1,1,13,2.2305976463348975,4250,80,4170,0.7435622900802503,0.060450552317996,0.8040128423982463
